business_id,business_name,segment,main_category,sub_category,hybrid_score,img_url,business_url,address,city,state,latitude,longitude
8q25GCkL0PngPIlCu2j4Vw,Pangolin Café,Star Diners,Restaurants & Food,Coffee,4.89517214573995,https://s3-media2.fl.yelpcdn.com/bphoto/HKDYnVCXH1UmEvnMREp-mA/o.jpg,https://www.yelp.com/biz/pangolin-caf%C3%A9-reno-2?adjust_creative=KFi-pTt6X1uifHP_qepO3g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=KFi-pTt6X1uifHP_qepO3g,"955 S Virginia St, Ste 110",Reno,NV,39.5156575,-119.8083936
slO-qEE0z8-BLRTvMYW6HA,The Mediterranean Chickpea,Must-Try Spots,Other,Other,4.892790035059728,https://s3-media3.fl.yelpcdn.com/bphoto/0-BqhY5EF7-V4M5Y0hdnFQ/o.jpg,https://www.yelp.com/biz/the-mediterranean-chickpea-tampa?adjust_creative=KFi-pTt6X1uifHP_qepO3g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=KFi-pTt6X1uifHP_qepO3g,"3217 S Macdill Ave, Ste C",Tampa,FL,27.9169053561,-82.4938904914
zxIF-bnaJ-eKIsznB7yu7A,Free Tours By Foot,Must-Try Spots,Other,Other,4.884597495140859,https://s3-media2.fl.yelpcdn.com/bphoto/wk0HKUqCsXI1nSO0DqGg9g/o.jpg,https://www.yelp.com/biz/tours-by-foot-new-orleans?adjust_creative=KFi-pTt6X1uifHP_qepO3g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=KFi-pTt6X1uifHP_qepO3g,2613 Laurel St,New Orleans,LA,29.9253533,-90.0799876
xkWhyrBL0i_P8YdXGJ2iUg,Cruisers Bike Tours,Must-Try Spots,Restaurants & Food,Food,4.884517853514657,https://s3-media2.fl.yelpcdn.com/bphoto/SHPH2f0tWL2GqzPUmbU6XQ/o.jpg,https://www.yelp.com/biz/a-street-tour-named-desire-new-orleans?adjust_creative=KFi-pTt6X1uifHP_qepO3g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=KFi-pTt6X1uifHP_qepO3g,634 Elysian Fields,New Orleans,LA,29.9643864,-90.0568968
aAXo_vX8YG10kytAM9SC9Q,Ice Dreammm Shop,Star Diners,Restaurants & Food,Ice Cream,4.880686187964166,https://s3-media1.fl.yelpcdn.com/bphoto/KLEdeEbEanTYvbipLpTCTA/o.jpg,https://www.yelp.com/biz/ice-dreammm-shop-lutz?adjust_creative=KFi-pTt6X1uifHP_qepO3g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=KFi-pTt6X1uifHP_qepO3g,"23912 State Rd 54, Ste 2",Lutz,FL,28.1851,-82.421468
DVBJRvnCpkqaYl6nHroaMg,Tumerico,Star Diners,Other,Other,4.879577077228012,https://s3-media3.fl.yelpcdn.com/bphoto/CuNce_79wwpMg91hBaEO1A/o.jpg,https://www.yelp.com/biz/tumerico-tucson?adjust_creative=KFi-pTt6X1uifHP_qepO3g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=KFi-pTt6X1uifHP_qepO3g,2526 E 6th St,Tucson,AZ,32.2277054884,-110.9347224981
1YflE3DkiCZGgLnf3paLnA,Forest Park,Star Diners,Other,Other,4.879320042498232,https://s3-media2.fl.yelpcdn.com/bphoto/Ky62q3ogMdfTslJufGUlyg/o.jpg,https://www.yelp.com/biz/forest-park-saint-louis-2?adjust_creative=KFi-pTt6X1uifHP_qepO3g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=KFi-pTt6X1uifHP_qepO3g,5595 Grand Dr,Saint Louis,MO,38.6390472884,-90.2841629994
jh8j-DWqgWkbRe_a2XtKFQ,Barrio Bread,Star Diners,Other,Other,4.877591266985551,https://s3-media3.fl.yelpcdn.com/bphoto/r4TV0ZcFis0CSpWfY-jYgg/o.jpg,https://www.yelp.com/biz/barrio-bread-tucson-2?adjust_creative=KFi-pTt6X1uifHP_qepO3g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=KFi-pTt6X1uifHP_qepO3g,18 S Eastbourne Ave,Tucson,AZ,32.2208848,-110.9279431
OR7VJQ3Nk1wCcIbPN4TCQQ,Smiling With Hope Pizza,Star Diners,Other,Other,4.865195999279242,https://s3-media1.fl.yelpcdn.com/bphoto/OeDgVuApOO5fCjhZdqeCAw/o.jpg,https://www.yelp.com/biz/smiling-with-hope-pizza-reno?adjust_creative=KFi-pTt6X1uifHP_qepO3g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=KFi-pTt6X1uifHP_qepO3g,"6135 Lakeside Dr, Ste 101, Bartley Ranch",Reno,NV,39.471879,-119.808947
BXXdejmA_rJpMD2MBKCyGA,Cathedral Basilica of Saint Louis,Must-Try Spots,Other,Other,4.860004555432236,https://s3-media4.fl.yelpcdn.com/bphoto/9rblCHMXIMaEfL-HPEB41w/o.jpg,https://www.yelp.com/biz/cathedral-basilica-of-saint-louis-saint-louis?adjust_creative=KFi-pTt6X1uifHP_qepO3g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=KFi-pTt6X1uifHP_qepO3g,4431 Lindell Blvd,Saint Louis,MO,38.6425078,-90.2547064
